"Time [ms]","CoreLoss [W]"
0,0
0.25,338.450438333957
0.5,288.000257569485
0.75,276.548814529037
1,485.181395402807
1.25,191.629844081785
1.5,376.339871526699
1.75,394.13317850663
2,216.840099179659
2.25,412.011954181763
2.5,299.440029065736
2.75,423.65591397738
3,377.749302226462
3.25,423.804557169094
3.5,685.654288382473
3.75,300.9659241541
4,589.455855629404
4.25,593.521270665805
4.5,390.841635285871
4.75,621.691738492738
5,479.604265248222
5.25,613.20580771339
5.5,467.061072213928
5.75,492.508197930481
6,750.93749919637
6.25,330.737973673359
6.5,616.291032965049
6.75,614.361042336009
7,396.578553005107
7.25,625.726950632748
7.5,479.567643554696
7.75000000000001,613.3155721516
8.00000000000001,466.985422905382
8.25000000000001,492.551023766615
8.50000000000001,750.928210296199
8.75000000000001,330.732558570478
9.00000000000001,616.332404955536
9.25000000000001,614.280671813678
9.50000000000001,396.665683124613
9.75000000000001,625.681699137928
10,479.530910551868
10.25,613.425305622361
10.5,466.909885278172
10.75,492.593905113749
11,750.919490454144
11.25,330.727866937303
11.5,616.374235947441
11.75,614.199867981963
12,396.75324954297
12.25,625.636264983756
12.5,479.493201687268
12.75,613.534513744499
13,466.834290404756
13.25,492.636903235404
13.5,750.911114839335
13.75,330.721984002036
14,616.416103286736
14.25,614.118623155197
14.5,396.841320245584
14.75,625.590753592877
15,479.45696362808
