"Time [ms]","Moving1.Torque [NewtonMeter]"
0,225.786214137995
0.25,205.454014151822
0.5,236.992800984151
0.75,195.464324861403
1,244.179400003771
1.25,214.188319466681
1.5,198.463949423398
1.75,252.680007007099
2,194.121954111175
2.25,227.188468268795
2.5,225.761604850472
2.75,205.445572641031
3,236.972390508864
3.25,195.446330446957
3.5,244.164537790275
3.75,214.168566641016
4,198.451432680499
4.25,252.655914506938
4.5,194.109784464752
4.75,227.173422751128
5,225.737576391862
5.25,205.437253523853
5.5,236.951978635463
5.75,195.428341405812
6,244.149669843741
6.25,214.148796402606
6.5,198.438912769011
6.75,252.631826055745
7,194.097618019055
7.25,227.158375326453
7.5,225.713548991398
7.75000000000001,205.428936273603
8.00000000000001,236.931565274575
8.25000000000001,195.410357699653
8.50000000000001,244.134796311199
8.75000000000001,214.12904404808
9.00000000000001,198.426398268078
9.25000000000001,252.607736619542
9.50000000000001,194.085456591131
9.75000000000001,227.14332399668
10,225.689522979054
10.25,205.4206174254
10.5,236.911150462768
10.75,195.392379470668
11,244.119915177432
11.25,214.109291839537
11.5,198.413882024746
11.75,252.583646465572
12,194.073293950008
12.25,227.128271783035
12.5,225.665496828924
12.75,205.41229705247
13,236.890734185696
13.25,195.374406740429
13.5,244.105026494978
13.75,214.089539931587
14,198.401363284697
14.25,252.559555649958
14.5,194.061132823676
14.75,227.11321697909
15,225.641468760584
