"Time [ms]","Moving1.LoadTorque [NewtonMeter]","Moving1.Torque [NewtonMeter]"
0,0,225.786181614135
0.25,0,205.45398093274
0.5,0,236.992777003346
0.75,0,195.464289852717
1,0,244.179377173904
1.25,0,214.188296346819
1.5,0,198.463939898561
1.75,0,252.679972342479
2,0,194.12192725673
2.25,0,227.188455732903
2.5,0,225.761572604044
2.75,0,205.445539648443
3,0,236.972366444746
3.25,0,195.446295439292
3.5,0,244.164514955618
3.75,0,214.168543516886
4,0,198.451423103367
4.25,0,252.655879668354
4.5,0,194.109756384398
4.75,0,227.173410327769
5,0,225.737544380699
5.25,0,205.437220883312
5.5,0,236.951954648926
5.75,0,195.428306398772
6,0,244.149647003857
6.25,0,214.14877327355
6.5,0,198.438903141833
6.75,0,252.631790963253
7,0,194.097587821623
7.25,0,227.158362744403
7.5,0,225.713517220286
7.75000000000001,0,205.428903931807
8.00000000000001,0,236.931541294789
8.25000000000001,0,195.41032269347
8.50000000000001,0,244.134773471419
8.75000000000001,0,214.129020914502
9.00000000000001,0,198.426388588537
9.25000000000001,0,252.607701266353
9.50000000000001,0,194.085421839167
9.75000000000001,0,227.143312875621
10,0,225.689491442382
10.25,0,205.420585378074
10.5,0,236.911126483068
10.75,0,195.392344464267
11,0,244.119892335453
11.25,0,214.1092687014
11.5,0,198.413872297896
11.75,0,252.583610719302
12,0,194.07325835374
12.25,0,227.128260603709
12.5,0,225.665465521534
12.75,0,205.412265292344
13,0,236.890710207546
13.25,0,195.374371734087
13.5,0,244.105003648966
13.75,0,214.089516788672
14,0,198.401353512118
14.25,0,252.559519625317
14.5,0,194.061098658659
14.75,0,227.113205780958
15,0,225.641437685113
